Date,Open,High,Low,Close
06/17/2022,"1,099.35","1,116.29","1,050.00","1,095.00"
06/16/2022,"1,179.82","1,253.83","1,081.72","1,096.86"
06/15/2022,"1,187.00","1,225.08","1,015.20","1,177.44"
06/14/2022,"1,239.69","1,256.60","1,077.23","1,187.30"
06/13/2022,"1,473.58","1,484.24","1,167.52","1,243.08"
06/12/2022,"1,521.77","1,550.29","1,428.30","1,477.97"
06/11/2022,"1,677.73","1,684.17","1,498.96","1,521.84"
06/10/2022,"1,792.44","1,800.67","1,660.02","1,677.39"
06/09/2022,"1,796.12","1,830.46","1,777.26","1,792.44"
06/08/2022,"1,844.73","1,845.35","1,765.00","1,796.12"
06/07/2022,"1,860.86","1,873.67","1,726.04","1,844.73"
06/06/2022,"1,809.65","1,917.16","1,802.90","1,860.47"
06/05/2022,"1,775.05","1,827.58","1,773.53","1,809.74"
06/04/2022,"1,759.00","1,792.92","1,748.00","1,774.69"
06/03/2022,"1,822.45","1,852.00","1,737.36","1,758.06"
06/02/2022,"1,791.36","1,842.28","1,783.44","1,824.05"
06/01/2022,"1,948.13","1,970.05","1,770.94","1,794.22"
05/31/2022,"1,958.35","2,009.89","1,926.88","1,948.13"
05/30/2022,"1,793.68","1,954.77","1,792.88","1,952.14"
05/29/2022,"1,790.25","1,823.22","1,763.50","1,793.03"
05/28/2022,"1,744.18","1,809.00","1,709.19","1,790.25"
05/27/2022,"1,825.85","1,844.43","1,715.00","1,744.16"
05/26/2022,"1,959.19","1,968.28","1,742.89","1,826.05"
05/25/2022,"1,970.19","2,020.00","1,935.89","1,959.09"
05/24/2022,"1,997.28","2,002.54","1,911.38","1,967.21"
05/23/2022,"2,005.97","2,085.71","1,977.60","1,996.35"
05/22/2022,"1,972.42","2,033.91","1,963.81","2,004.77"
05/21/2022,"1,958.20","1,987.89","1,938.78","1,972.76"
05/20/2022,"2,012.95","2,060.94","1,921.75","1,957.64"
05/19/2022,"1,963.40","2,036.37","1,901.40","2,011.38"
05/18/2022,"2,051.83","2,106.01","1,935.00","1,962.74"
05/17/2022,"2,031.06","2,119.99","2,006.29","2,051.90"
05/16/2022,"2,130.42","2,155.00","1,978.55","2,030.99"
05/15/2022,"1,995.60","2,128.88","1,991.19","2,128.88"
05/14/2022,"2,042.76","2,079.00","1,948.93","1,997.47"
05/13/2022,"1,925.00","2,141.84","1,865.47","2,043.75"
05/12/2022,"2,032.68","2,181.20","1,707.51","1,925.01"
